l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,i,l,w,r,n,n,a,d,f,a,b,r
1236.4,1421.5,1551.5,1733.8,1988.1,2132.2,2379.2,2508.6,2700,2835,3035.8,3169,3446.1,3565.6,3737.2,3863.4,4145.8,4288.6,4545.3,4712.2,4892.7,5009.2,5118.2,5216.7,5301.3,5405.9,5479.5,5600.9
1266.4,1446.5,1601.5,1775.6,2022,2174.2,2409.3,2555.5,2732.3,2882.6,3069.4,3216.6,3482,3612.1,3776.1,3910.3,4187.8,4319.3,4649.8,4779.3,4961.1,5080.1,5175.7,5267.8,5351.1,5462.4,5531.9,5672.3
