r,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r
1275,1766.8,1984.8,2129.8,2229.1,2325,2499.8,2679.2,2894.2,3028.6,3135.7,3301.9,3437.2,3602.8,3742.1,3841.4,3934.9,4112.3,4292.1,4506.1,4631.6,4735.4,4899.8,5003.2,5175.5,5305.5,5469.2,5604.7,5700.6,5798.8,5971,6151.2,6359.1,6569.6,6649.2,6746.7,6926.2,7107.3,7321.2,7443.4,7546.3,7700.5,7800,7966.9,8094.9,8253.5,8393.2,8491.1,8585,8756.3,8935.8,9134,9344.1,9432.3,9528.4,9720.7,9905.4,10123,10243,10346,10491,10592,10764,10895,11057,11197,11298,11391,11569,11750,11963,12078,12280,12390,12485,12664,12843,13060,13177,13278,13427,13530,13701,13832,13997,14141,14240,14335,14504,14688,14910,15036,15141,15292,15394,15576,15713,15871,16011,16113,16208,16391,16571,16800,16934,17042,17197,17300,17485,17623,17791,17939,18037,18135,18325,18511,18723
1346.7,1841.4,2062,2198.1,2301.6,2388.8,2607.9,2766.4,2960.1,3083,3213.3,3375.6,3503.8,3677.7,3814.2,3912.5,4000.5,4217.8,4380.9,4568.8,4680.3,4817.3,4953.2,5080.2,5245,5374,5550.4,5677.1,5780.7,5862.3,6087.2,6242.3,6435.1,6619.8,6726.6,6811.6,7037.7,7195.5,7390.9,7498.8,7627.5,7751.9,7883.2,8037,8162.5,8332.2,8467.3,8569.7,8653.8,8871.1,9026.3,9210,9405.7,9511.6,9598,9836.9,9970,10189,10295,10425,10545,10671,10839,10967,11137,11274,11374,11455,11681,11846,12036,12149,12360,12467,12549,12780,12938,13129,13233,13363,13484,13611,13773,13899,14079,14217,14317,14401,14612,14780,14972,15095,15224,15344,15472,15648,15786,15952,16087,16193,16276,16495,16660,16873,16988,17120,17254,17379,17559,17693,17870,18014,18118,18203,18440,18599,18796
